data/ratedate,data/currency,data/buyingrate,data/centralrate,data/sellingrate
1/26/2022,US DOLLAR,414.99,415.49,415.99
1/26/2022,POUNDS STERLING,560.7345,561.4101,562.0857
1/26/2022,EURO,467.9842,468.5481,469.1119
1/26/2022,SWISS FRANC,450.8311,451.3743,451.9174
1/26/2022,YEN,3.6339,3.6383,3.6426
1/26/2022,CFA,0.6934,0.7034,0.7134
1/26/2022,WAUA,579.5862,580.2845,580.9828
1/26/2022,YUAN/RENMINBI,65.5884,65.6679,65.7473
1/26/2022,RIYAL,110.6256,110.7589,110.8922
1/26/2022,SOUTH AFRICAN RAND,27.3903,27.4233,27.4563
1/26/2022,DANISH KRONA,62.8839,62.9597,63.0355
1/26/2022,SDR,580.5295,581.229,581.9284
1/25/2022,US DOLLAR,414.82,415.32,415.82
1/25/2022,POUNDS STERLING,557.5181,558.1901,558.8621
1/25/2022,EURO,467.5851,468.1487,468.7123
1/25/2022,SWISS FRANC,450.9403,451.4839,452.0274
1/25/2022,YEN,3.6391,3.6435,3.6479
1/25/2022,CFA,0.6954,0.7054,0.7154
1/25/2022,WAUA,580.1752,580.8745,581.5738
1/25/2022,YUAN/RENMINBI,65.5315,65.6109,65.6904
1/25/2022,RIYAL,110.5803,110.7136,110.8469
1/25/2022,SOUTH AFRICAN RAND,27.0837,27.1164,27.149
1/25/2022,DANISH KRONA,62.7906,62.8663,62.942
1/25/2022,SDR,581.1213,581.8218,582.5222
1/24/2022,US DOLLAR,414.64,415.14,415.64
1/24/2022,POUNDS STERLING,559.3494,560.0239,560.6984
1/24/2022,EURO,468.8749,469.4403,470.0057
1/24/2022,SWISS FRANC,454.3502,454.8981,455.446
1/24/2022,YEN,3.6442,3.6486,3.653
1/24/2022,CFA,0.698,0.708,0.718
1/24/2022,WAUA,580.4804,581.1804,581.8804
1/24/2022,YUAN/RENMINBI,65.5476,65.6271,65.7066
1/24/2022,RIYAL,110.5323,110.6656,110.7989
1/24/2022,SOUTH AFRICAN RAND,27.1631,27.1959,27.2287
1/24/2022,DANISH KRONA,62.9807,63.0567,63.1326
1/24/2022,SDR,581.3253,582.0263,582.7273
1/21/2022,US DOLLAR,414.53,415.03,415.53
1/21/2022,POUNDS STERLING,562.0198,562.6977,563.3756
1/21/2022,EURO,469.7454,470.312,470.8786
1/21/2022,SWISS FRANC,453.8318,454.3792,454.9266
1/21/2022,YEN,3.6401,3.6445,3.6488
1/21/2022,CFA,0.6972,0.7072,0.7172
1/21/2022,WAUA,580.5214,581.2216,581.9218
1/21/2022,YUAN/RENMINBI,65.3752,65.4545,65.5338
1/21/2022,RIYAL,110.4824,110.6157,110.7489
1/21/2022,SOUTH AFRICAN RAND,27.3787,27.4117,27.4448
1/21/2022,DANISH KRONA,63.0972,63.1734,63.2495
1/21/2022,SDR,581.3369,582.0381,582.7393
1/20/2022,US DOLLAR,414.45,414.95,415.45
1/20/2022,POUNDS STERLING,563.8178,564.498,565.1782
1/20/2022,EURO,470.0277,470.5948,471.1618
1/20/2022,SWISS FRANC,452.6046,453.1506,453.6966
1/20/2022,YEN,3.626,3.6304,3.6347
1/20/2022,CFA,0.6974,0.7074,0.7174
1/20/2022,WAUA,580.245,580.945,581.645
1/20/2022,YUAN/RENMINBI,65.3152,65.3944,65.4737
1/20/2022,RIYAL,110.4817,110.615,110.7483
1/20/2022,SOUTH AFRICAN RAND,27.2876,27.3206,27.3535
1/20/2022,DANISH KRONA,63.1408,63.217,63.2932
1/20/2022,SDR,581.1418,581.8429,582.544
1/19/2022,US DOLLAR,414.3,414.8,415.3
1/19/2022,POUNDS STERLING,564.8566,565.5383,566.22
1/19/2022,EURO,469.8576,470.4247,470.9917
1/19/2022,SWISS FRANC,452.0458,452.5914,453.1369
1/19/2022,YEN,3.6187,3.623,3.6274
1/19/2022,CFA,0.6983,0.7083,0.7183
1/19/2022,WAUA,580.3913,581.0918,581.7922
1/19/2022,YUAN/RENMINBI,65.2709,65.3502,65.4294
1/19/2022,RIYAL,110.4358,110.5691,110.7024
1/19/2022,SOUTH AFRICAN RAND,26.9553,26.9878,27.0203
1/19/2022,DANISH KRONA,63.1276,63.2038,63.28
1/19/2022,SDR,581.5115,582.2133,582.9151
1/18/2022,US DOLLAR,414.17,414.67,415.17
1/18/2022,POUNDS STERLING,563.3955,564.0756,564.7558
1/18/2022,EURO,471.6982,472.2677,472.8371
1/18/2022,YEN,3.6115,3.6159,3.6202
1/18/2022,CFA,0.7033,0.7133,0.7233
1/18/2022,WAUA,582.1689,582.8717,583.5745
1/18/2022,YUAN/RENMINBI,65.155,65.2341,65.3132
1/18/2022,RIYAL,110.3865,110.5197,110.653
1/18/2022,DANISH KRONA,63.3617,63.4382,63.5147
1/17/2022,US DOLLAR,414,414.5,415
1/17/2022,POUNDS STERLING,565.6896,566.3728,567.056
1/17/2022,EURO,472.581,473.1518,473.7225
1/17/2022,SWISS FRANC,452.7559,453.3027,453.8495
1/17/2022,YEN,3.616,3.6204,3.6248
1/17/2022,CFA,0.703,0.713,0.723
1/17/2022,WAUA,581.8734,582.5762,583.2789
1/17/2022,YUAN/RENMINBI,65.2072,65.2865,65.3657
1/17/2022,RIYAL,110.3294,110.4626,110.5959
1/17/2022,SOUTH AFRICAN RAND,26.8967,26.9292,26.9617
1/17/2022,DANISH KRONA,63.494,63.5707,63.6474
1/17/2022,SDR,582.8706,583.5746,584.2785
1/14/2022,US DOLLAR,413.89,414.39,414.89
1/14/2022,POUNDS STERLING,568.1054,568.7917,569.478
1/14/2022,EURO,474.0696,474.6423,475.215
1/14/2022,SWISS FRANC,453.9263,454.4747,455.023
1/14/2022,YEN,3.6332,3.6376,3.6419
1/14/2022,CFA,0.704,0.714,0.724
1/14/2022,WAUA,581.6622,582.3649,583.0676
1/14/2022,YUAN/RENMINBI,65.1478,65.227,65.3062
1/14/2022,RIYAL,110.2883,110.4216,110.5548
1/14/2022,SOUTH AFRICAN RAND,27.0024,27.035,27.0676
1/14/2022,DANISH KRONA,63.696,63.7729,63.8499
1/14/2022,SDR,582.5088,583.2125,583.9162
1/13/2022,US DOLLAR,413.79,414.29,414.79
1/13/2022,POUNDS STERLING,567.9268,568.613,569.2993
1/13/2022,EURO,474.0792,474.6521,475.2249
1/13/2022,SWISS FRANC,453.5182,454.0662,454.6142
1/13/2022,YEN,3.6136,3.6179,3.6223
1/13/2022,CFA,0.6978,0.7078,0.7178
1/13/2022,WAUA,579.1246,579.8244,580.5242
1/13/2022,YUAN/RENMINBI,64.9634,65.0423,65.1213
1/13/2022,RIYAL,110.2411,110.3743,110.5075
1/13/2022,SOUTH AFRICAN RAND,26.9002,26.9327,26.9652
1/13/2022,DANISH KRONA,63.1866,63.2629,63.3393
1/13/2022,SDR,580.0922,580.7932,581.4941
1/12/2022,US DOLLAR,413.61,414.11,414.61
1/12/2022,POUNDS STERLING,564.2054,564.8875,565.5695
1/12/2022,EURO,470.1091,470.6774,471.2457
1/12/2022,SWISS FRANC,448.0178,448.5594,449.101
1/12/2022,YEN,3.5845,3.5888,3.5931
1/12/2022,CFA,0.6954,0.7054,0.7154
1/12/2022,WAUA,578.2752,578.9742,579.6733
1/12/2022,YUAN/RENMINBI,64.9351,65.0141,65.093
1/12/2022,RIYAL,110.1873,110.3205,110.4537
1/12/2022,SOUTH AFRICAN RAND,26.6893,26.7216,26.7539
1/12/2022,DANISH KRONA,63.1591,63.2355,63.3118
1/12/2022,SDR,579.2194,579.9196,580.6198
1/11/2022,US DOLLAR,413.44,413.94,414.44
1/11/2022,POUNDS STERLING,561.6582,562.3375,563.0167
1/11/2022,EURO,468.8823,469.4494,470.0164
1/11/2022,SWISS FRANC,446.1422,446.6818,447.2213
1/11/2022,YEN,3.5814,3.5858,3.5901
1/11/2022,CFA,0.6924,0.7024,0.7124
1/11/2022,WAUA,576.9477,577.6455,578.3432
1/11/2022,YUAN/RENMINBI,64.8616,64.9405,65.0194
1/11/2022,RIYAL,110.1361,110.2693,110.4025
1/11/2022,SOUTH AFRICAN RAND,26.5112,26.5433,26.5754
1/11/2022,DANISH KRONA,62.9965,63.0727,63.1489
1/11/2022,SDR,578.7747,579.4746,580.1746
1/10/2022,US DOLLAR,413.26,413.76,414.26
1/10/2022,POUNDS STERLING,560.9591,561.6378,562.3165
1/10/2022,EURO,467.893,468.4591,469.0252
1/10/2022,SWISS FRANC,448.0269,448.569,449.111
1/10/2022,YEN,3.5851,3.5895,3.5938
1/10/2022,CFA,0.6924,0.7024,0.7124
1/10/2022,WAUA,576.9471,577.6452,578.3432
1/10/2022,YUAN/RENMINBI,64.8496,64.9285,65.0075
1/10/2022,RIYAL,110.0882,110.2214,110.3546
1/10/2022,SOUTH AFRICAN RAND,26.4297,26.4617,26.4936
1/10/2022,DANISH KRONA,62.8867,62.9628,63.0389
1/10/2022,SDR,577.8201,578.5192,579.2183
1/7/2022,US DOLLAR,413.14,413.64,414.14
1/7/2022,POUNDS STERLING,559.7634,560.4408,561.1183
1/7/2022,EURO,466.8895,467.4546,468.0196
1/7/2022,SWISS FRANC,447.9454,448.4875,449.0296
