currency,rate
US Dollar,3.672500
Argentine Peso,0.035110
Australian Dollar,2.618725
Bangladesh Taka,0.042733
Bahrani Dinar,9.742155
Brunei Dollar,2.730889
Brazilian Real,0.667934
Botswana Pula,0.317487
Belarus Rouble,1.409248
Canadian Dollar,2.904999
Swiss Franc,3.997932
Chilean Peso,0.004542
Chinese Yuan - Offshore,0.579478
Chinese Yuan,0.580229
Colombian Peso,0.000920
Czech Koruna,0.169022
Danish Krone,0.556229
Algerian Dinar,0.026248
Egypt Pound,0.233768
Euro,4.140361
GB Pound,4.944796
Hongkong Dollar,0.471625
Hungarian Forint,0.011525
Indonesia Rupiah,0.000256
Indian Rupee,0.049095
Iceland Krona,0.028396
Jordan Dinar,5.179831
Japanese Yen,0.032240
Kenya Shilling,0.032343
Korean Won,0.003063
Kuwaiti Dinar,12.144511
Kazakhstan Tenge,0.008422
Lebanon Pound,0.002429
Sri Lanka Rupee,0.018181
Moroccan Dirham,0.393961
Macedonia Denar,0.067188
Mexican Peso,0.177764
Malaysia Ringgit,0.876492
Nigerian Naira,0.008846
Norwegian Krone,0.407911
NewZealand Dollar,2.447681
Omani Rial,9.538961
Peru Sol,0.952956
Philippine Piso,0.071640
Pakistan Rupee,0.020822
Polish Zloty,0.903555
Qatari Riyal,1.008651
Serbian Dinar,0.035211
Russia Rouble,0.046483
Saudi Riyal,0.979046
Sudanese Pound,0.008335
Swedish Krona,0.394625
Singapore Dollar,2.731092
Thai Baht,0.111086
Tunisian Dinar,1.272258
Turkish Lira,0.271376
Trin Tob Dollar,0.540909
Taiwan Dollar,0.132438
Tanzania Shilling,0.001589
Uganda Shilling,0.001042
Vietnam Dong,0.000162
Yemen Rial,0.014681
South Africa Rand,0.239893
Zambian Kwacha,0.207779
Azerbaijan manat,2.161566
Bulgarian lev,2.116593
Croatian kuna,0.549718
Ethiopian birr,0.073766
Iraqi dinar,0.002516
Israeli new shekel,1.153170
Libyan dinar,0.800109
Mauritian rupee,0.083656
Romanian leu,0.837247
Syrian pound,0.001462
Turkmen manat,1.050787
Uzbekistani som,0.000339
