$id,CalculateChangePercent,Id,Symbol,PrevClosingPrice,OpeningPrice,HighPrice,LowPrice,ClosePrice,Change,PercChange,Trades,Volume,Value,Market,Sector,Company2,TradeDate
1,0,35,ABBEYBDS,1.04,1.04,,,1.04,,,0,,,Main Board,FINANCIAL SERVICES,ABBEYBDS [BLS],2022-01-25T00:00:00
2,0,23,ABCTRANS,0.36,0.36,,,0.36,,,5,127500,45029,Main Board,SERVICES,ABCTRANS ,2022-01-25T00:00:00
3,9.722222222222223,37,ACADEMY,0.72,0.72,0.79,0.79,0.79,0.07,9.72,6,1908286,1507545.94,Main Board,SERVICES,ACADEMY ,2022-01-25T00:00:00
4,-1.0256410256410255,32,ACCESS,9.75,9.75,9.75,9.65,9.65,-0.1,-1.03,177,14934794,145501500.8,Premium Board,FINANCIAL SERVICES,ACCESS ,2022-01-25T00:00:00
5,0,34,AFRINSURE,0.2,0.2,,,0.2,,,1,5000,1000,Main Board,FINANCIAL SERVICES,AFRINSURE ,2022-01-25T00:00:00
6,0,33,AFRIPRUD,6.55,6.55,6.55,6.55,6.55,0,,57,1606832,10482965.05,Main Board,FINANCIAL SERVICES,AFRIPRUD ,2022-01-25T00:00:00
7,0,38,AFROMEDIA,0.2,0.2,,,0.2,,,1,100,20,Main Board,SERVICES,AFROMEDIA ,2022-01-25T00:00:00
8,0,36,AIICO,0.8,0.8,0.8,0.8,0.8,0,,38,2003760,1604870.66,Main Board,FINANCIAL SERVICES,AIICO ,2022-01-25T00:00:00
9,0,91,AIRTELAFRI,1155.5,1155.5,,,1155.5,,,35,1099,1365935.3,Main Board,ICT,AIRTELAFRI ,2022-01-25T00:00:00
10,0,21,ALEX,7.2,7.2,,,7.2,,,0,,,Main Board,NATURAL RESOURCES,ALEX [BLS],2022-01-25T00:00:00
11,0,16,ARBICO,1.03,1.03,,,1.03,,,0,,,Main Board,CONSTRUCTION/REAL ESTATE,ARBICO [BLS],2022-01-25T00:00:00
12,0,64,ARDOVA,13.1,13.1,,,13.1,,,27,311005,4101013.45,Main Board,OIL AND GAS,ARDOVA ,2022-01-25T00:00:00
13,0,17,ASOSAVINGS,0.5,0.5,,,0.5,,,0,,,Main Board,FINANCIAL SERVICES,ASOSAVINGS [DIP],2022-01-25T00:00:00
14,0,18,AUSTINLAZ,2.03,2.03,,,2.03,,,0,,,Main Board,INDUSTRIAL GOODS,AUSTINLAZ [BLS],2022-01-25T00:00:00
15,0,15,BAPLC,6.25,6.25,,,6.25,,,0,,,Growth Board,ICT,BAPLC ,2022-01-25T00:00:00
16,0,19,BERGER,8.2,8.2,,,8.2,,,15,17016,143742.15,Main Board,INDUSTRIAL GOODS,BERGER ,2022-01-25T00:00:00
17,0,20,BETAGLAS,52.95,52.95,,,52.95,,,2,127,6339.65,Main Board,INDUSTRIAL GOODS,BETAGLAS ,2022-01-25T00:00:00
18,0,121,BUACEMENT,71.4,71.4,,,71.4,,,21,28185,1915716.4,Main Board,INDUSTRIAL GOODS,BUACEMENT ,2022-01-25T00:00:00
19,0,5,BUAFOODS,64.4,64.4,,,64.4,,,25,48412,2997996.6,Main Board,CONSUMER GOODS,BUAFOODS [BLS],2022-01-25T00:00:00
20,0,40,CADBURY,9.5,9.5,,,9.5,,,19,39680,368054.65,Main Board,CONSUMER GOODS,CADBURY ,2022-01-25T00:00:00
21,0,47,CAP,19.5,19.5,,,19.5,,,14,43540,848020.85,Main Board,INDUSTRIAL GOODS,CAP ,2022-01-25T00:00:00
22,0,52,CAPHOTEL,3.19,3.19,,,3.19,,,0,,,Main Board,SERVICES,CAPHOTEL [BLS],2022-01-25T00:00:00
23,0,50,CAPOIL,0.2,0.2,,,0.2,,,0,,,ASeM,OIL AND GAS,CAPOIL [MRF],2022-01-25T00:00:00
24,0,14,CAVERTON,1.71,1.71,,,1.71,,,2,3500,6225,Main Board,SERVICES,CAVERTON ,2022-01-25T00:00:00
25,8.05084745762712,41,CHAMPION,2.36,2.36,2.59,2.55,2.55,0.19,8.05,31,1706644,4342439.92,Main Board,CONSUMER GOODS,CHAMPION [BLS],2022-01-25T00:00:00
26,5,46,CHAMS,0.2,0.2,0.21,0.2,0.21,0.01,5,34,16555538,3330924.87,Main Board,ICT,CHAMS ,2022-01-25T00:00:00
27,0,39,CHELLARAM,2.24,2.24,,,2.24,,,2,800,1632,Growth Board,CONGLOMERATES,CHELLARAM ,2022-01-25T00:00:00
28,-3.125,42,CHIPLC,0.64,0.64,0.62,0.59,0.62,-0.02,-3.12,18,3671941,2209065.19,Main Board,FINANCIAL SERVICES,CHIPLC ,2022-01-25T00:00:00
29,-10,24,CILEASING,4.2,4.2,3.78,3.78,3.78,-0.42,-10,11,139552,528606.38,Main Board,SERVICES,CILEASING ,2022-01-25T00:00:00
30,0,51,CONOIL,21.95,21.95,,,21.95,,,22,27207,594794.6,Main Board,OIL AND GAS,CONOIL ,2022-01-25T00:00:00
31,-3.7735849056603774,43,CORNERST,0.53,0.53,0.53,0.51,0.51,-0.02,-3.77,9,893084,466360.1,Main Board,FINANCIAL SERVICES,CORNERST ,2022-01-25T00:00:00
32,10,45,COURTVILLE,0.5,0.5,0.55,0.53,0.55,0.05,10,58,21425555,11764033.01,Main Board,ICT,COURTVILLE ,2022-01-25T00:00:00
33,0.7092198581560284,44,CUSTODIAN,7.05,7.05,7.1,7.1,7.1,0.05,0.71,25,399369,2861208.2,Main Board,FINANCIAL SERVICES,CUSTODIAN ,2022-01-25T00:00:00
34,0,48,CUTIX,2.4,2.4,,,2.4,,,14,235200,577810,Main Board,INDUSTRIAL GOODS,CUTIX ,2022-01-25T00:00:00
35,0,4,CWG,1.23,1.23,,,1.23,,,1,20000,24400,Main Board,ICT,CWG [BLS],2022-01-25T00:00:00
36,0,53,DAARCOMM,0.2,0.2,,,0.2,,,2,4600,920,Main Board,SERVICES,DAARCOMM ,2022-01-25T00:00:00
37,0,49,DANGCEM,284.9,284.9,,,284.9,,,53,45230,12131309.1,Premium Board,INDUSTRIAL GOODS,DANGCEM ,2022-01-25T00:00:00
38,0,98,DANGSUGAR,17.75,17.75,,,17.75,,,103,858670,15079392.35,Main Board,CONSUMER GOODS,DANGSUGAR ,2022-01-25T00:00:00
39,0,101,DEAPCAP,0.2,0.2,,,0.2,,,0,,,Main Board,FINANCIAL SERVICES,DEAPCAP [DWL],2022-01-25T00:00:00
40,0,99,DUNLOP,0.2,0.2,,,0.2,,,0,,,Main Board,CONSUMER GOODS,DUNLOP [MRS],2022-01-25T00:00:00
41,0,107,EKOCORP,5.79,5.79,,,5.79,,,0,,,Main Board,HEALTHCARE,EKOCORP [BLS],2022-01-25T00:00:00
42,0,96,ELLAHLAKES,4.25,4.25,,,4.25,,,2,250,1062.5,Main Board,AGRICULTURE,ELLAHLAKES ,2022-01-25T00:00:00
43,0,115,ENAMELWA,16.2,16.2,,,16.2,,,0,,,Main Board,CONSUMER GOODS,ENAMELWA ,2022-01-25T00:00:00
44,0,110,ETERNA,6.35,6.35,,,6.35,,,16,224914,1394269.8,Main Board,OIL AND GAS,ETERNA ,2022-01-25T00:00:00
45,9.94475138121547,100,ETI,9.05,9.05,9.95,9.95,9.95,0.9,9.94,98,4401440,43500232.6,Main Board,FINANCIAL SERVICES,ETI ,2022-01-25T00:00:00
46,0,108,ETRANZACT,2,2,,,2,,,2,1331,2753.6,Main Board,ICT,ETRANZACT ,2022-01-25T00:00:00
47,0,156,EUNISELL,2.91,2.91,,,2.91,,,0,,,Main Board,SERVICES,EUNISELL ,2022-01-25T00:00:00
48,-0.8474576271186441,102,FBNH,11.8,11.8,11.75,11.7,11.7,-0.1,-0.85,145,3603083,42233593.65,Premium Board,FINANCIAL SERVICES,FBNH ,2022-01-25T00:00:00
49,0,103,FCMB,3,3,3,2.96,3,0,-1.33,39,1424997,4269412.17,Main Board,FINANCIAL SERVICES,FCMB ,2022-01-25T00:00:00
50,0.3717472118959108,104,FIDELITYBK,2.69,2.69,2.7,2.68,2.7,0.01,0.37,123,11098961,29947958.81,Main Board,FINANCIAL SERVICES,FIDELITYBK ,2022-01-25T00:00:00
51,0,106,FIDSON,7.55,7.55,,,7.55,,,12,145190,1069584.6,Main Board,HEALTHCARE,FIDSON ,2022-01-25T00:00:00
52,0,97,FLOURMILL,28.6,28.6,28.6,28.6,28.6,0,,62,300742,8584099.15,Main Board,CONSUMER GOODS,FLOURMILL ,2022-01-25T00:00:00
53,2.7777777777777777,54,FTNCOCOA,0.36,0.36,0.37,0.37,0.37,0.01,2.78,10,361018,133047.12,Main Board,AGRICULTURE,FTNCOCOA [RST],2022-01-25T00:00:00
54,0,61,GLAXOSMITH,6.05,6.05,,,6.05,,,28,438088,2672951.75,Main Board,HEALTHCARE,GLAXOSMITH ,2022-01-25T00:00:00
55,0,55,GOLDBREW,0.81,0.81,,,0.81,,,0,,,Main Board,CONSUMER GOODS,GOLDBREW [BLS],2022-01-25T00:00:00
56,0,60,GOLDINSURE,0.2,0.2,,,0.2,,,0,,,Main Board,FINANCIAL SERVICES,GOLDINSURE [MRS],2022-01-25T00:00:00
57,0,3,GSPECPLC,4.19,4.19,,,4.19,,,0,,,Main Board,SERVICES,GSPECPLC ,2022-01-25T00:00:00
