$id,CalculateChangePercent,Id,Symbol,PrevClosingPrice,OpeningPrice,HighPrice,LowPrice,ClosePrice,Change,PercChange,Trades,Volume,Value,Market,Sector,Company2,TradeDate
1,0,28,ABBEYBDS,1.04,1.04,,,,,,1,560,560,Main Board,FINANCIAL SERVICES,ABBEYBDS [BLS],2022-01-28T00:00:00
2,0,42,ABCTRANS,0.36,0.36,,,,,,5,17037,6133.32,Main Board,SERVICES,ABCTRANS ,2022-01-28T00:00:00
3,9.30232558139535,31,ACADEMY,0.86,0.86,0.94,0.94,0.94,0.08,9.3,26,507776,473961.33,Main Board,SERVICES,ACADEMY ,2022-01-28T00:00:00
4,1.0309278350515465,25,ACCESS,9.7,9.7,9.8,9.75,9.8,0.1,1.03,60,5748791,56278602.7,Premium Board,FINANCIAL SERVICES,ACCESS ,2022-01-28T00:00:00
5,0,27,AFRINSURE,0.2,0.2,,,,,,1,5000,1000,Main Board,FINANCIAL SERVICES,AFRINSURE ,2022-01-28T00:00:00
6,0,26,AFRIPRUD,6.55,6.55,6.55,6.55,6.55,0,,8,159557,1045774.35,Main Board,FINANCIAL SERVICES,AFRIPRUD ,2022-01-28T00:00:00
7,0,32,AFROMEDIA,0.2,0.2,,,,,,0,,,Main Board,SERVICES,AFROMEDIA ,2022-01-28T00:00:00
8,-1.3157894736842106,29,AIICO,0.76,0.76,0.76,0.75,0.75,-0.01,-1.32,31,1597519,1202030.42,Main Board,FINANCIAL SERVICES,AIICO ,2022-01-28T00:00:00
9,0,11,AIRTELAFRI,1271,1271,,,,,,34,2984,4165118.6,Main Board,ICT,AIRTELAFRI ,2022-01-28T00:00:00
10,0,40,ALEX,7.2,7.2,,,,,,1,825,5362.5,Main Board,NATURAL RESOURCES,ALEX [BLS],2022-01-28T00:00:00
11,0,33,ARBICO,1.03,1.03,,,,,,0,,,Main Board,CONSTRUCTION/REAL ESTATE,ARBICO [BLS],2022-01-28T00:00:00
12,0,52,ARDOVA,12.45,12.45,,,,,,6,91065,1179291.75,Main Board,OIL AND GAS,ARDOVA ,2022-01-28T00:00:00
13,0,34,ASOSAVINGS,0.5,0.5,,,,,,0,,,Main Board,FINANCIAL SERVICES,ASOSAVINGS [DIP],2022-01-28T00:00:00
14,0,38,AUSTINLAZ,2.03,2.03,,,,,,0,,,Main Board,INDUSTRIAL GOODS,AUSTINLAZ [BLS],2022-01-28T00:00:00
15,0,3,BAPLC,6.25,6.25,,,,,,0,,,Growth Board,ICT,BAPLC ,2022-01-28T00:00:00
16,0,36,BERGER,8.2,8.2,,,,,,6,45551,356320.7,Main Board,INDUSTRIAL GOODS,BERGER ,2022-01-28T00:00:00
17,0,37,BETAGLAS,52.95,52.95,,,,,,0,,,Main Board,INDUSTRIAL GOODS,BETAGLAS ,2022-01-28T00:00:00
18,0,5,BUACEMENT,69.95,69.95,,,,,,20,27200,1843501.8,Main Board,INDUSTRIAL GOODS,BUACEMENT ,2022-01-28T00:00:00
19,0,13,BUAFOODS,64.4,64.4,,,,,,15,14644,886918.1,Main Board,CONSUMER GOODS,BUAFOODS [BLS],2022-01-28T00:00:00
20,0,110,CADBURY,8.8,8.8,,,,,,11,21197,186381.85,Main Board,CONSUMER GOODS,CADBURY ,2022-01-28T00:00:00
21,0,117,CAP,19.5,19.5,,,,,,1,1000,19500,Main Board,INDUSTRIAL GOODS,CAP ,2022-01-28T00:00:00
22,0,122,CAPHOTEL,3.19,3.19,,,,,,1,3568,10525.6,Main Board,SERVICES,CAPHOTEL [BLS],2022-01-28T00:00:00
23,0,120,CAPOIL,0.2,0.2,,,,,,0,,,ASeM,OIL AND GAS,CAPOIL [MRF],2022-01-28T00:00:00
24,0,9,CAVERTON,1.71,1.71,,,,,,3,8429,14962.2,Main Board,SERVICES,CAVERTON ,2022-01-28T00:00:00
25,0,111,CHAMPION,2.35,2.35,,,,,,11,134763,334753.55,Main Board,CONSUMER GOODS,CHAMPION [BLS],2022-01-28T00:00:00
26,0,116,CHAMS,0.21,0.21,0.21,0.21,0.21,0,,10,1406945,295102.5,Main Board,ICT,CHAMS ,2022-01-28T00:00:00
27,0,109,CHELLARAM,2.24,2.24,,,,,,0,,,Growth Board,CONGLOMERATES,CHELLARAM ,2022-01-28T00:00:00
28,0,112,CHIPLC,0.65,0.65,,,,,,1,90,53.1,Main Board,FINANCIAL SERVICES,CHIPLC ,2022-01-28T00:00:00
29,0,41,CILEASING,3.78,3.78,,,,,,4,38904,156226.65,Main Board,SERVICES,CILEASING ,2022-01-28T00:00:00
30,0,121,CONOIL,21.95,21.95,,,,,,1,2300,50485,Main Board,OIL AND GAS,CONOIL ,2022-01-28T00:00:00
31,0,113,CORNERST,0.5,0.5,,,,,,0,,,Main Board,FINANCIAL SERVICES,CORNERST ,2022-01-28T00:00:00
32,-3.3333333333333335,115,COURTVILLE,0.6,0.6,0.6,0.57,0.58,-0.02,-3.33,23,2402221,1385148.88,Main Board,ICT,COURTVILLE ,2022-01-28T00:00:00
33,0,114,CUSTODIAN,7.1,7.1,,,,,,2,3000,21300,Main Board,FINANCIAL SERVICES,CUSTODIAN ,2022-01-28T00:00:00
