$id,CalculateChangePercent,Id,Symbol,PrevClosingPrice,OpeningPrice,HighPrice,LowPrice,ClosePrice,Change,PercChange,Trades,Volume,Value,Market,Sector,Company2,TradeDate
1,0,104,ABBEYBDS,1.04,1.04,,,,,,0,,,Main Board,FINANCIAL SERVICES,ABBEYBDS [BLS],2022-01-26T00:00:00
2,0,119,ABCTRANS,0.36,0.36,,,,,,3,2500,900,Main Board,SERVICES,ABCTRANS ,2022-01-26T00:00:00
3,0,108,ACADEMY,0.79,0.79,,,,,,34,273895,235549.7,Main Board,SERVICES,ACADEMY ,2022-01-26T00:00:00
4,0,101,ACCESS,9.65,9.65,9.65,9.65,9.65,0,,45,579296,5598928.45,Premium Board,FINANCIAL SERVICES,ACCESS ,2022-01-26T00:00:00
5,0,103,AFRINSURE,0.2,0.2,,,,,,0,,,Main Board,FINANCIAL SERVICES,AFRINSURE ,2022-01-26T00:00:00
6,0,102,AFRIPRUD,6.55,6.55,6.55,6.55,6.55,0,,24,1111706,7280506.15,Main Board,FINANCIAL SERVICES,AFRIPRUD ,2022-01-26T00:00:00
7,0,109,AFROMEDIA,0.2,0.2,,,,,,0,,,Main Board,SERVICES,AFROMEDIA ,2022-01-26T00:00:00
8,0,105,AIICO,0.8,0.8,,,,,,15,74212,60923.84,Main Board,FINANCIAL SERVICES,AIICO ,2022-01-26T00:00:00
9,0,4,AIRTELAFRI,1155.5,1155.5,,,,,,12,740,902217,Main Board,ICT,AIRTELAFRI ,2022-01-26T00:00:00
10,0,117,ALEX,7.2,7.2,,,,,,0,,,Main Board,NATURAL RESOURCES,ALEX [BLS],2022-01-26T00:00:00
11,0,110,ARBICO,1.03,1.03,,,,,,0,,,Main Board,CONSTRUCTION/REAL ESTATE,ARBICO [BLS],2022-01-26T00:00:00
12,0,49,ARDOVA,13.1,13.1,,,,,,17,22759,298711.85,Main Board,OIL AND GAS,ARDOVA ,2022-01-26T00:00:00
13,0,111,ASOSAVINGS,0.5,0.5,,,,,,0,,,Main Board,FINANCIAL SERVICES,ASOSAVINGS [DIP],2022-01-26T00:00:00
14,0,115,AUSTINLAZ,2.03,2.03,,,,,,0,,,Main Board,INDUSTRIAL GOODS,AUSTINLAZ [BLS],2022-01-26T00:00:00
15,0,112,BAPLC,6.25,6.25,,,,,,0,,,Growth Board,ICT,BAPLC ,2022-01-26T00:00:00
16,0,113,BERGER,8.2,8.2,,,,,,1,1000,8200,Main Board,INDUSTRIAL GOODS,BERGER ,2022-01-26T00:00:00
17,0,114,BETAGLAS,52.95,52.95,,,,,,2,29,1621.1,Main Board,INDUSTRIAL GOODS,BETAGLAS ,2022-01-26T00:00:00
18,3.6414565826330536,1,BUACEMENT,71.4,71.4,74,71.45,74,2.6,3.64,46,639999,45463596.5,Main Board,INDUSTRIAL GOODS,BUACEMENT ,2022-01-26T00:00:00
19,0,25,BUAFOODS,64.4,64.4,,,,,,8,443,26915.4,Main Board,CONSUMER GOODS,BUAFOODS [BLS],2022-01-26T00:00:00
20,-9.473684210526317,124,CADBURY,9.5,9.5,8.75,8.6,8.6,-0.9,-9.47,23,661447,5829535,Main Board,CONSUMER GOODS,CADBURY ,2022-01-26T00:00:00
21,0,132,CAP,19.5,19.5,,,,,,2,30,585,Main Board,INDUSTRIAL GOODS,CAP ,2022-01-26T00:00:00
22,0,137,CAPHOTEL,3.19,3.19,,,,,,0,,,Main Board,SERVICES,CAPHOTEL [BLS],2022-01-26T00:00:00
23,0,135,CAPOIL,0.2,0.2,,,,,,0,,,ASeM,OIL AND GAS,CAPOIL [MRF],2022-01-26T00:00:00
24,0,122,CAVERTON,1.71,1.71,,,,,,0,,,Main Board,SERVICES,CAVERTON ,2022-01-26T00:00:00
25,-7.8431372549019605,125,CHAMPION,2.55,2.55,2.35,2.35,2.35,-0.2,-7.84,22,1781347,4193166.13,Main Board,CONSUMER GOODS,CHAMPION [BLS],2022-01-26T00:00:00
26,0,131,CHAMS,0.21,0.21,0.22,0.21,0.21,0,4.76,15,8950452,1882594.92,Main Board,ICT,CHAMS ,2022-01-26T00:00:00
27,0,123,CHELLARAM,2.24,2.24,,,,,,0,,,Growth Board,CONGLOMERATES,CHELLARAM ,2022-01-26T00:00:00
28,0,126,CHIPLC,0.62,0.62,,,,,,2,2600,1588,Main Board,FINANCIAL SERVICES,CHIPLC ,2022-01-26T00:00:00
29,0,118,CILEASING,3.78,3.78,,,,,,2,9025,37453.75,Main Board,SERVICES,CILEASING ,2022-01-26T00:00:00
30,0,136,CONOIL,21.95,21.95,,,,,,10,1207,26590.7,Main Board,OIL AND GAS,CONOIL ,2022-01-26T00:00:00
31,0,127,CORNERST,0.51,0.51,,,,,,3,6133,3127.83,Main Board,FINANCIAL SERVICES,CORNERST ,2022-01-26T00:00:00
32,9.090909090909092,130,COURTVILLE,0.55,0.55,0.6,0.6,0.6,0.05,9.09,10,1150002,690001.2,Main Board,ICT,COURTVILLE ,2022-01-26T00:00:00
33,0,128,CUSTODIAN,7.1,7.1,,,,,,3,13000,97446,Main Board,FINANCIAL SERVICES,CUSTODIAN ,2022-01-26T00:00:00
34,0,133,CUTIX,2.4,2.4,,,,,,12,56367,142833.11,Main Board,INDUSTRIAL GOODS,CUTIX ,2022-01-26T00:00:00
35,0,3,CWG,1.23,1.23,,,,,,1,16000,19520,Main Board,ICT,CWG [BLS],2022-01-26T00:00:00
36,0,138,DAARCOMM,0.2,0.2,,,,,,1,4600,920,Main Board,SERVICES,DAARCOMM ,2022-01-26T00:00:00
37,0,134,DANGCEM,284.9,284.9,,,,,,24,2508,678920.5,Premium Board,INDUSTRIAL GOODS,DANGCEM ,2022-01-26T00:00:00
38,0,74,DANGSUGAR,17.75,17.75,,,,,,94,40505,703272.2,Main Board,CONSUMER GOODS,DANGSUGAR ,2022-01-26T00:00:00
39,0,77,DEAPCAP,0.2,0.2,,,,,,0,,,Main Board,FINANCIAL SERVICES,DEAPCAP [DWL],2022-01-26T00:00:00
40,0,75,DUNLOP,0.2,0.2,,,,,,0,,,Main Board,CONSUMER GOODS,DUNLOP [MRS],2022-01-26T00:00:00
41,0,83,EKOCORP,5.79,5.79,,,,,,0,,,Main Board,HEALTHCARE,EKOCORP [BLS],2022-01-26T00:00:00
42,0,72,ELLAHLAKES,4.25,4.25,,,,,,2,11250,51750,Main Board,AGRICULTURE,ELLAHLAKES ,2022-01-26T00:00:00
43,0,32,ENAMELWA,16.2,16.2,,,,,,0,,,Main Board,CONSUMER GOODS,ENAMELWA ,2022-01-26T00:00:00
44,0,86,ETERNA,6.35,6.35,,,,,,2,2500,15150,Main Board,OIL AND GAS,ETERNA ,2022-01-26T00:00:00
45,9.547738693467336,76,ETI,9.95,9.95,10.9,10.5,10.9,0.95,9.55,73,8691603,93951379.9,Main Board,FINANCIAL SERVICES,ETI ,2022-01-26T00:00:00
46,0,84,ETRANZACT,2,2,,,,,,8,3791,7956.6,Main Board,ICT,ETRANZACT ,2022-01-26T00:00:00
47,0,64,EUNISELL,2.91,2.91,,,,,,0,,,Main Board,SERVICES,EUNISELL ,2022-01-26T00:00:00
48,-0.4273504273504274,78,FBNH,11.7,11.7,11.65,11.65,11.65,-0.05,-0.43,43,419084,4884873,Premium Board,FINANCIAL SERVICES,FBNH ,2022-01-26T00:00:00
49,0,79,FCMB,3,3,3,3,3,0,,18,525381,1576227.76,Main Board,FINANCIAL SERVICES,FCMB ,2022-01-26T00:00:00
50,0.3703703703703704,80,FIDELITYBK,2.7,2.7,2.71,2.7,2.71,0.01,0.37,52,4308541,11646108.43,Main Board,FINANCIAL SERVICES,FIDELITYBK ,2022-01-26T00:00:00
51,0,82,FIDSON,7.55,7.55,,,,,,8,2735,20512.5,Main Board,HEALTHCARE,FIDSON ,2022-01-26T00:00:00
52,0,73,FLOURMILL,28.6,28.6,,,,,,13,38485,1100468.9,Main Board,CONSUMER GOODS,FLOURMILL ,2022-01-26T00:00:00
53,-2.7027027027027026,40,FTNCOCOA,0.37,0.37,0.36,0.36,0.36,-0.01,-2.7,10,259572,94737.42,Main Board,AGRICULTURE,FTNCOCOA [RST],2022-01-26T00:00:00
54,0,47,GLAXOSMITH,6.05,6.05,,,,,,7,110516,674140.65,Main Board,HEALTHCARE,GLAXOSMITH ,2022-01-26T00:00:00
55,0,41,GOLDBREW,0.81,0.81,,,,,,0,,,Main Board,CONSUMER GOODS,GOLDBREW [BLS],2022-01-26T00:00:00
56,0,46,GOLDINSURE,0.2,0.2,,,,,,0,,,Main Board,FINANCIAL SERVICES,GOLDINSURE [MRS],2022-01-26T00:00:00
57,0,107,GSPECPLC,4.19,4.19,,,,,,0,,,Main Board,SERVICES,GSPECPLC ,2022-01-26T00:00:00
58,0,44,GTCO,25.5,25.5,25.5,25.5,25.5,0,,155,12340512,314742455.25,Main Board,FINANCIAL SERVICES,GTCO ,2022-01-26T00:00:00
59,0,45,GUINEAINS,0.2,0.2,,,,,,0,,,Main Board,FINANCIAL SERVICES,GUINEAINS ,2022-01-26T00:00:00
60,0,42,GUINNESS,42.5,42.5,,,,,,22,126020,5520480.15,Main Board,CONSUMER GOODS,GUINNESS ,2022-01-26T00:00:00
61,1.8181818181818183,43,HONYFLOUR,3.3,3.3,3.36,3.26,3.36,0.06,1.82,36,1702034,5681791.36,Main Board,CONSUMER GOODS,HONYFLOUR ,2022-01-26T00:00:00
62,0,50,IKEJAHOTEL,1.28,1.28,,,,,,0,,,Main Board,SERVICES,IKEJAHOTEL ,2022-01-26T00:00:00
63,0,116,IMG,9.5,9.5,9.5,9.5,9.5,0,,7,190686,1808502.8,Main Board,NATURAL RESOURCES,IMG ,2022-01-26T00:00:00
64,0,26,INFINITY,1.32,1.32,,,,,,0,,,Main Board,FINANCIAL SERVICES,INFINITY [BLS],2022-01-26T00:00:00
65,0,54,INTBREW,5,5,,,,,,9,84735,423675,Main Board,CONSUMER GOODS,INTBREW [BLS],2022-01-26T00:00:00
