$id,CalculateChangePercent,Id,Symbol,PrevClosingPrice,OpeningPrice,HighPrice,LowPrice,ClosePrice,Change,PercChange,Trades,Volume,Value,Market,Sector,Company2,TradeDate
1,0,20,ABBEYBDS,1.04,1.04,,,,,,1,21,19.95,Main Board,FINANCIAL SERVICES,ABBEYBDS [BLS],2022-01-27T00:00:00
2,0,35,ABCTRANS,0.36,0.36,,,,,,1,100,36,Main Board,SERVICES,ABCTRANS ,2022-01-27T00:00:00
3,0,24,ACADEMY,0.86,0.86,,,,,,4,22000,20680,Main Board,SERVICES,ACADEMY ,2022-01-27T00:00:00
4,0,17,ACCESS,9.7,9.7,,,,,,21,211585,2042651.15,Premium Board,FINANCIAL SERVICES,ACCESS ,2022-01-27T00:00:00
5,0,19,AFRINSURE,0.2,0.2,,,,,,0,,,Main Board,FINANCIAL SERVICES,AFRINSURE ,2022-01-27T00:00:00
6,0,18,AFRIPRUD,6.55,6.55,,,,,,6,37739,252140.45,Main Board,FINANCIAL SERVICES,AFRIPRUD ,2022-01-27T00:00:00
7,0,25,AFROMEDIA,0.2,0.2,,,,,,1,100,20,Main Board,SERVICES,AFROMEDIA ,2022-01-27T00:00:00
8,0,21,AIICO,0.8,0.8,,,,,,7,24073,18822.06,Main Board,FINANCIAL SERVICES,AIICO ,2022-01-27T00:00:00
9,0,1,AIRTELAFRI,1271,1271,,,,,,16,808,1129314,Main Board,ICT,AIRTELAFRI ,2022-01-27T00:00:00
10,0,33,ALEX,7.2,7.2,,,,,,0,,,Main Board,NATURAL RESOURCES,ALEX [BLS],2022-01-27T00:00:00
11,0,26,ARBICO,1.03,1.03,,,,,,0,,,Main Board,CONSTRUCTION/REAL ESTATE,ARBICO [BLS],2022-01-27T00:00:00
12,0,52,ARDOVA,13.1,13.1,,,,,,5,9909,130674.2,Main Board,OIL AND GAS,ARDOVA ,2022-01-27T00:00:00
13,0,27,ASOSAVINGS,0.5,0.5,,,,,,0,,,Main Board,FINANCIAL SERVICES,ASOSAVINGS [DIP],2022-01-27T00:00:00
