Ask,AskVolume,AveragePrice,Bid,BidVolume,Change,ClosePrice,High,HighFiftyTwo,ID,Last,LastTradedDate,LastTradedQuantity,LogoUrl,Low,LowFiftyTwo,MID,Name,OpenPrice,PercentageChange,PreviousClose,Price,Sector,Symbol,TOP,TOV,Trades,Value,Volume,statusIndicator,statusIndicatorOth
4.75,15000,4.81,4.7,3167,-0.13,4.7,4.83,5.09,ADAVIATION,4.7,"Tue, 25 Jan 2022 10:43:38 GMT",824060,AEA001001014,4.7,3.7,510,Abu Dhabi Aviation Co.,4.83,-2.69,4.83,4.7,Services,ADAVIATION,,,28,3962028,824060, ,
8.9,884596,8.78,8.79,20000,0.12,8.9,8.9,9,ADCB,8.9,"Tue, 25 Jan 2022 10:56:03 GMT",5461735,AEA000201011,8.64,5.97,510,Abu Dhabi Commercial Bank,8.78,1.37,8.78,8.9,Banks,ADCB,,,730,47974539,5461735, , 
6.83,200000,6.78,6.8,10593,-0.03,6.8,6.84,7.13,ADIB,6.8,"Tue, 25 Jan 2022 10:55:00 GMT",1318896,AEA000801018,6.73,4.6,510,Abu Dhabi Islamic Bank,6.84,-0.44,6.83,6.8,Banks,ADIB,,,224,8939622,1318896, , 
3.75,25490,3.78,3.74,7500,0.04,3.74,3.89,4.6,ADNH,3.74,"Tue, 25 Jan 2022 09:47:49 GMT",491837,AEA000301019,3.7,2.4,510,Abu Dhabi National Hotels Co.,3.7,1.08,3.7,3.74,Services,ADNH,,,83,1859127,491837, , 
6.77,52000,6.76,6.7,411,-0.03,6.77,6.77,7,ADNIC,6.77,"Tue, 25 Jan 2022 09:49:52 GMT",11000,AEA001101012,6.76,4.63,510,Abu Dhabi National Insurance Company,6.76,-0.44,6.8,6.77,Insurance,ADNIC,,,3,74390,11000, , 
4.13,77800,4.13,4.11,12368,-0.03,4.11,4.14,5.01,ADNOCDIST,4.11,"Tue, 25 Jan 2022 10:55:00 GMT",10736960,AEA006101017,4.1,3.85,510,Abu Dhabi National Oil Company For Distribution,4.13,-0.72,4.14,4.11,Energy,ADNOCDIST,,,267,44295779,10736960, , 
3.34,600000,3.33,3.32,324032,-0.02,3.33,3.35,3.6,ADNOCDRILL,3.33,"Tue, 25 Jan 2022 10:58:46 GMT",7249104,AEA007301012,3.32,2.77,510,ADNOC Drilling Company PJSC,3.34,-0.6,3.35,3.33,Energy,ADNOCDRILL,,,232,24166269,7249104, , 
3.9,50303,3.89,3.8,225,0,3.8,3.9,5.02,ADSB,3.8,"Tue, 25 Jan 2022 10:55:00 GMT",11260,AEA000901016,3.8,1.83,510,Abu Dhabi Ship Building Co.,3.9,0,3.8,3.8,Industrial,ADSB,,,7,43755,11260, , 
4.97,20000,4.96,4.94,27242,0,4.97,4.99,7.32,AGTHIA,4.97,"Tue, 25 Jan 2022 10:55:00 GMT",169037,AEA001901015,4.94,4.65,510,AGTHIA Group,4.97,0,4.97,4.97,Consumer Staples,AGTHIA,,,38,839249,169037, , 
4.16,450784,4.12,4.12,18490,0.02,4.16,4.16,4.38,ALDAR,4.16,"Tue, 25 Jan 2022 10:55:00 GMT",68369738,AEA002001013,4.1,3.41,510,Al Dar Properties,4.14,0.48,4.14,4.16,Real Estate,ALDAR,,,667,281814164,68369738, , 
25.34,50000,25.09,25.3,158980,0.3,25.3,25.4,30.2,ALPHADHABI,25.3,"Tue, 25 Jan 2022 10:56:49 GMT",3768487,AEA007601015,24.82,15,510,Alpha Dhabi Holding PJSC,25.02,1.2,25,25.3,Investment & Financial Services,ALPHADHABI,,,305,94565448,3768487, , 
4.55,27960,4.55,4.54,2861,-0.06,4.55,4.7,8.09,ALQUDRA,4.55,"Tue, 25 Jan 2022 10:59:45 GMT",2181374,AEA006501018,4.5,0.84,517,Al Qudra Holding,4.7,-1.3,4.61,4.55,Other,ALQUDRA,,,221,9931431,2181374, , 
1.43,200300,1.4,1.4,45617,-0.01,1.41,1.44,1.84,ARKAN,1.41,"Tue, 25 Jan 2022 10:55:00 GMT",2336820,AEA002801016,1.37,0.7,510,Arkan Building Materials Company,1.44,-0.7,1.42,1.41,Industrial,ARKAN,,,118,3263971,2336820, , 
