Ask,AskVolume,AveragePrice,Bid,BidVolume,Change,ClosePrice,High,HighFiftyTwo,ID,Last,LastTradedDate,LastTradedQuantity,LogoUrl,Low,LowFiftyTwo,MID,Name,OpenPrice,PercentageChange,PreviousClose,Price,Sector,Symbol,TOP,TOV,Trades,Value,Volume,statusIndicator,statusIndicatorOth
4.7,15017,4.69,4.67,12125,0,4.7,4.7,5.09,ADAVIATION,4.7,"Fri, 28 Jan 2022 10:23:26 GMT",45604,AEA001001014,4.69,3.7,510,Abu Dhabi Aviation Co.,4.69,0,4.7,4.7,Services,ADAVIATION,,,6,213983,45604, ,
8.94,10394,8.9,8.93,11283,0.13,8.94,8.96,9,ADCB,8.94,"Fri, 28 Jan 2022 10:34:22 GMT",2034910,AEA000201011,8.82,5.97,510,Abu Dhabi Commercial Bank,8.83,1.48,8.81,8.94,Banks,ADCB,,,268,18107163,2034910, , 
6.91,33122,6.89,6.9,8624,0.05,6.9,6.92,7.13,ADIB,6.9,"Fri, 28 Jan 2022 10:33:42 GMT",586738,AEA000801018,6.84,4.6,510,Abu Dhabi Islamic Bank,6.84,0.73,6.85,6.9,Banks,ADIB,,,108,4041813,586738, , 
3.51,8745,3.45,3.5,7070,0.09,3.5,3.5,4.6,ADNH,3.5,"Fri, 28 Jan 2022 10:09:06 GMT",223597,AEA000301019,3.4,2.4,510,Abu Dhabi National Hotels Co.,3.4,2.64,3.41,3.5,Services,ADNH,,,29,772130,223597, , 
6.77,10000,6.72,6.75,37437,0.06,6.75,6.77,7,ADNIC,6.75,"Fri, 28 Jan 2022 10:30:26 GMT",152480,AEA001101012,6.68,4.63,510,Abu Dhabi National Insurance Company,6.69,0.9,6.69,6.75,Insurance,ADNIC,,,13,1025422,152480, , 
4.13,164386,4.12,4.12,312197,0.04,4.13,4.13,5.01,ADNOCDIST,4.13,"Fri, 28 Jan 2022 10:30:45 GMT",8056965,AEA006101017,4.09,3.85,510,Abu Dhabi National Oil Company For Distribution,4.09,0.98,4.09,4.13,Energy,ADNOCDIST,,,143,33189221,8056965, , 
3.4,1365362,3.38,3.39,410604,0.04,3.4,3.4,3.6,ADNOCDRILL,3.4,"Fri, 28 Jan 2022 10:29:40 GMT",7382515,AEA007301012,3.36,2.77,510,ADNOC Drilling Company PJSC,3.37,1.19,3.36,3.4,Energy,ADNOCDRILL,,,139,24927843,7382515, , 
3.86,4500,3.81,3.8,26750,-0.08,3.8,3.9,5.02,ADSB,3.8,"Fri, 28 Jan 2022 10:30:14 GMT",93300,AEA000901016,3.79,1.83,510,Abu Dhabi Ship Building Co.,3.9,-2.06,3.88,3.8,Industrial,ADSB,,,18,355047,93300, , 
5.08,36926,5.07,5.07,1095,0,5.07,5.08,7.32,AGTHIA,5.07,"Fri, 28 Jan 2022 10:33:09 GMT",265924,AEA001901015,5.06,4.65,510,AGTHIA Group,5.06,0,5.07,5.07,Consumer Staples,AGTHIA,,,71,1347866,265924, , 
4.13,1051886,4.13,4.12,692686,0.01,4.12,4.14,4.38,ALDAR,4.12,"Fri, 28 Jan 2022 10:32:45 GMT",51594504,AEA002001013,4.12,3.46,510,Al Dar Properties,4.13,0.24,4.11,4.12,Real Estate,ALDAR,,,345,213099148,51594504, , 
