Ask,AskVolume,AveragePrice,Bid,BidVolume,Change,ClosePrice,High,HighFiftyTwo,ID,Last,LastTradedDate,LastTradedQuantity,LogoUrl,Low,LowFiftyTwo,MID,Name,OpenPrice,PercentageChange,PreviousClose,Price,Sector,Symbol,TOP,TOV,Trades,Value,Volume,statusIndicator,statusIndicatorOth
4.74,20322,4.74,4.73,8714,0.04,4.74,4.84,5.09,ADAVIATION,4.74,"Wed, 26 Jan 2022 10:44:06 GMT",141623,AEA001001014,4.7,3.7,510,Abu Dhabi Aviation Co.,4.75,0.85,4.7,4.74,Services,ADAVIATION,,,18,671575,141623, ,
8.97,33310,8.92,8.9,8890,0.07,8.97,8.97,9,ADCB,8.97,"Wed, 26 Jan 2022 10:55:00 GMT",6462136,AEA000201011,8.84,5.97,510,Abu Dhabi Commercial Bank,8.89,0.79,8.9,8.97,Banks,ADCB,,,612,57616236,6462136, , 
6.87,10000,6.83,6.83,65000,0.03,6.83,6.87,7.13,ADIB,6.83,"Wed, 26 Jan 2022 10:56:56 GMT",1394782,AEA000801018,6.79,4.6,510,Abu Dhabi Islamic Bank,6.79,0.44,6.8,6.83,Banks,ADIB,,,171,9527972,1394782, , 
3.73,10446,3.72,3.71,10829,-0.04,3.7,3.74,4.6,ADNH,3.7,"Wed, 26 Jan 2022 07:34:29 GMT",57873,AEA000301019,3.7,2.4,510,Abu Dhabi National Hotels Co.,3.74,-1.07,3.74,3.7,Services,ADNH,,,10,215359,57873, , 
4.11,79016,4.13,4.1,383424,0,4.11,4.14,5.01,ADNOCDIST,4.11,"Wed, 26 Jan 2022 10:55:00 GMT",9169382,AEA006101017,4.11,3.85,510,Abu Dhabi National Oil Company For Distribution,4.12,0,4.11,4.11,Energy,ADNOCDIST,,,156,37845882,9169382, , 
3.37,623824,3.35,3.36,325938,0.04,3.37,3.37,3.6,ADNOCDRILL,3.37,"Wed, 26 Jan 2022 10:57:23 GMT",6827832,AEA007301012,3.32,2.77,510,ADNOC Drilling Company PJSC,3.34,1.2,3.33,3.37,Energy,ADNOCDRILL,,,251,22845023,6827832, , 
3.9,37364,3.89,3.82,2400,0.1,3.9,3.9,5.02,ADSB,3.9,"Wed, 26 Jan 2022 10:55:00 GMT",52426,AEA000901016,3.82,1.83,510,Abu Dhabi Ship Building Co.,3.89,2.63,3.8,3.9,Industrial,ADSB,,,7,203933,52426, , 
5.1,5349,5.08,5.04,38597,0.13,5.1,5.2,7.32,AGTHIA,5.1,"Wed, 26 Jan 2022 10:55:00 GMT",630881,AEA001901015,4.96,4.65,510,AGTHIA Group,4.98,2.62,4.97,5.1,Consumer Staples,AGTHIA,,,145,3205805,630881, , 
4.15,795237,4.14,4.13,5184,-0.01,4.15,4.16,4.38,ALDAR,4.15,"Wed, 26 Jan 2022 10:55:00 GMT",73675352,AEA002001013,4.12,3.41,510,Al Dar Properties,4.15,-0.24,4.16,4.15,Real Estate,ALDAR,,,530,305395494,73675352, , 
25.28,10000,25.46,25.1,111426,-0.2,25.1,25.7,30.2,ALPHADHABI,25.1,"Wed, 26 Jan 2022 10:55:00 GMT",3282751,AEA007601015,25.1,15,510,Alpha Dhabi Holding PJSC,25.3,-0.79,25.3,25.1,Investment & Financial Services,ALPHADHABI,,,272,83582791,3282751, , 
