Ask,AskVolume,AveragePrice,Bid,BidVolume,Change,ClosePrice,High,HighFiftyTwo,ID,Last,LastTradedDate,LastTradedQuantity,LogoUrl,Low,LowFiftyTwo,MID,Name,OpenPrice,PercentageChange,PreviousClose,Price,Sector,Symbol,TOP,TOV,Trades,Value,Volume,statusIndicator,statusIndicatorOth
4.73,13586,4.71,4.7,13164,-0.04,4.7,4.73,5.09,ADAVIATION,4.7,"Thu, 27 Jan 2022 09:08:17 GMT",29000,AEA001001014,4.7,3.7,510,Abu Dhabi Aviation Co.,4.73,-0.84,4.74,4.7,Services,ADAVIATION,,,4,136656,29000, ,
8.84,91564,8.82,8.83,42565,-0.14,8.83,8.88,9,ADCB,8.83,"Thu, 27 Jan 2022 09:23:31 GMT",4731287,AEA000201011,8.78,5.97,510,Abu Dhabi Commercial Bank,8.88,-1.56,8.97,8.83,Banks,ADCB,,,331,41731846,4731287, , 
6.8,50166,6.79,6.78,90138,-0.04,6.79,6.84,7.13,ADIB,6.79,"Thu, 27 Jan 2022 09:29:33 GMT",776716,AEA000801018,6.77,4.6,510,Abu Dhabi Islamic Bank,6.81,-0.59,6.83,6.79,Banks,ADIB,,,98,5275569,776716, , 
3.49,57520,3.53,3.48,3800,-0.22,3.48,3.71,4.6,ADNH,3.48,"Thu, 27 Jan 2022 08:46:17 GMT",410096,AEA000301019,3.47,2.4,510,Abu Dhabi National Hotels Co.,3.71,-5.95,3.7,3.48,Services,ADNH,,,39,1449336,410096, , 
6.69,26073,6.73,6.66,5970,-0.08,6.69,6.77,7,ADNIC,6.69,"Thu, 27 Jan 2022 07:03:11 GMT",46662,AEA001101012,6.69,4.63,510,Abu Dhabi National Insurance Company,6.77,-1.18,6.77,6.69,Insurance,ADNIC,,,7,313943,46662, , 
4.09,31456,4.11,4.08,221598,-0.02,4.09,4.12,5.01,ADNOCDIST,4.09,"Thu, 27 Jan 2022 09:28:38 GMT",8710773,AEA006101017,4.08,3.85,510,Abu Dhabi National Oil Company For Distribution,4.11,-0.49,4.11,4.09,Energy,ADNOCDIST,,,131,35765691,8710773, , 
3.37,704903,3.35,3.36,337122,-0.01,3.36,3.36,3.6,ADNOCDRILL,3.36,"Thu, 27 Jan 2022 09:13:16 GMT",5218841,AEA007301012,3.33,2.77,510,ADNOC Drilling Company PJSC,3.35,-0.3,3.37,3.36,Energy,ADNOCDRILL,,,101,17487456,5218841, , 
3.87,8000,3.85,3.68,347,-0.12,3.78,3.85,5.02,ADSB,3.78,"Thu, 27 Jan 2022 09:22:39 GMT",12378,AEA000901016,3.78,1.83,510,Abu Dhabi Ship Building Co.,3.8,-3.08,3.9,3.78,Industrial,ADSB,,,5,47633,12378, , 
5.12,8672,5.11,5.1,6987,0.02,5.12,5.12,7.32,AGTHIA,5.12,"Thu, 27 Jan 2022 09:15:27 GMT",370679,AEA001901015,5.1,4.65,510,AGTHIA Group,5.1,0.39,5.1,5.12,Consumer Staples,AGTHIA,,,58,1894918,370679, , 
4.12,1085888,4.12,4.11,438052,-0.03,4.12,4.14,4.38,ALDAR,4.12,"Thu, 27 Jan 2022 09:29:49 GMT",49688583,AEA002001013,4.11,3.41,510,Al Dar Properties,4.12,-0.72,4.15,4.12,Real Estate,ALDAR,,,386,204806221,49688583, , 
25.16,10029,25.14,25.1,8900,0.04,25.14,25.2,30.2,ALPHADHABI,25.14,"Thu, 27 Jan 2022 09:19:31 GMT",4860353,AEA007601015,25,15,510,Alpha Dhabi Holding PJSC,25.2,0.16,25.1,25.14,Investment & Financial Services,ALPHADHABI,,,230,122206262,4860353, , 
4.47,7732,4.46,4.42,5000,-0.14,4.41,4.55,8.09,ALQUDRA,4.41,"Thu, 27 Jan 2022 08:52:18 GMT",474545,AEA006501018,4.38,0.84,517,Al Qudra Holding,4.55,-3.08,4.55,4.41,Other,ALQUDRA,,,93,2116482,474545, , 
1.4,113504,1.4,1.39,29249,-0.01,1.4,1.42,1.84,ARKAN,1.4,"Thu, 27 Jan 2022 09:24:24 GMT",777443,AEA002801016,1.39,0.7,510,Arkan Building Materials Company,1.4,-0.71,1.41,1.4,Industrial,ARKAN,,,26,1088883,777443, , 
12.14,2500,12.15,12,2133,-0.22,12.16,12.36,16.94,ASM,12.16,"Thu, 27 Jan 2022 09:15:24 GMT",531230,AEA00701013 ,11.62,11.3,517,Al   Seer Marine Supplies & Equipment Company P.J.S.C,12.36,-1.78,12.38,12.16,Other,ASM,,,56,6453890,531230, , 
0.26,93777,0.24,0.24,14000,0,0.26,0.26,0.36,BILDCO,0.26,"Thu, 27 Jan 2022 06:34:32 GMT",51000,AEA000501014,0.24,0.15,510,Abu Dhabi National Co. for Building Materials,0.24,0.39,0.26,0.26,Industrial,BILDCO,,,2,12310,51000, ,50 
0.58,15000,0.57,0.57,870,0,0.57,0.58,0.76,BOS,0.57,"Thu, 27 Jan 2022 09:14:45 GMT",35500,AEB000101011,0.57,0.5,510,Bank of Sharjah,0.58,0,0.57,0.57,Banks,BOS,,,5,20241,35500, , 
4.91,35642,4.86,4.88,12500,-0.03,4.86,4.86,5.2,CHAEIN,4.86,"Thu, 27 Jan 2022 06:41:10 GMT",12500,IE00BKDMN700,4.86,3.68,515,CHIMERA S&P UAE UCITS ETF - SHARE CLASS D INCOME,4.86,-0.61,4.89,4.86,Other,CHAEIN,,,1,60750,12500, ,
6.61,32890,6.61,6.58,29918,-0.01,6.61,6.61,7.1,CHAESH,6.61,"Thu, 27 Jan 2022 08:57:50 GMT",25500,AEC000730023,6.6,4.71,515,Chimera S&P UAE Shariah ETF- Share class A- Accumulating,6.61,-0.15,6.62,6.61,Other,CHAESH,,,3,168428,25500, ,
3.67,5029,3.66,3.65,700,0.01,3.66,3.69,3.72,CHSASHIN,3.66,"Thu, 27 Jan 2022 08:51:02 GMT",8467,AEC000730049,3.66,3.63,515,CHIMERA S&P KSA SHARIAH ETF-SHARE CLASS B-INCOME,3.69,0.27,3.65,3.66,Other,CHSASHIN,,,3,31001,8467, ,
1.03,2640901,1.02,1.02,1271606,0,1.02,1.03,1.27,DANA,1.02,"Thu, 27 Jan 2022 09:21:23 GMT",2809157,AED000701014,1.01,0.67,510,DANA GAS PJSC,1.03,0,1.02,1.02,Energy,DANA,,,46,2866673,2809157, , 
20.92,1423,21.06,20.9,1325,0.14,21.06,21.06,23.8,DRIVE,21.06,"Thu, 27 Jan 2022 06:12:18 GMT",200,AEE000601014,21.06,13.44,510,Emirates Driving Company,21.06,0.67,20.92,21.06,Services,DRIVE,,,1,4212,200, , 
29.98,100,30.84,28.5,347,0,30,30.9,66.85,EASYLEASE,30,"Thu, 27 Jan 2022 09:20:14 GMT",76534,AEE002801018,29,19,517,Easy Lease Motorcycle Rental PJSC,30.9,0,30,30,Other,EASYLEASE,,,30,2359888,76534, , 
7.99,39887,7.84,7.84,6035,0.05,7.99,7.99,11.8,ESG,7.99,"Thu, 27 Jan 2022 09:19:15 GMT",1460182,AEE002901016,7.8,3.01,517,ESG EMIRATES STALLIONS GROUP P.J.S.C,7.88,0.63,7.94,7.99,Other,ESG,,,58,11451188,1460182, , 
0.33,5000,0.33,0.33,20861,0,0.33,0.33,0.48,ESHRAQ,0.33,"Thu, 27 Jan 2022 09:29:10 GMT",2077586,AEE000901018,0.33,0.29,510,ESHRAQ INVESTMENTS P.J.S.C,0.33,-1.2,0.33,0.33,Investment & Financial Services,ESHRAQ,,,45,686381,2077586, ,20 
31.94,12883,31.93,31.92,7108,-0.14,31.92,32.06,37,ETISALAT,31.92,"Thu, 27 Jan 2022 09:26:33 GMT",664400,AEE000401019,31.74,19.56,510,Emirates Telecom. Group Company (Etisalat Group) PJSC,31.74,-0.44,32.06,31.92,Telecommunication,ETISALAT,,,226,21211888,664400, , 
20.16,3702,19.95,20.14,46212,-0.44,20.16,20.16,21,NBAD,20.16,"Thu, 27 Jan 2022 09:28:13 GMT",13126936,AEN000101016,19.7,14.1,510,First Abu Dhabi Bank,20.08,-2.14,20.6,20.16,Banks,FAB,,,668,261953542,13126936, , 
